"POT NUMBER","Treatment Type","Line","Pot","Treatment","Tray","Biomass","Fruit Number","Abort Number","Silique Length","Tray","Treatment","Pot","Height (mm)","Leaf #","rosdiam",,,,,,,,
85,"CONTROL",134535,85,"control",5,".","ns",".",".",5,"control",85,"np",".",".",,,,,,,,
86,"CONTROL",33462,86,"control",5,".","ns",".",".",5,"control",86,"np",".",".",,,,,,,,
87,"CONTROL","ECOTYPE - 6885",87,"control",5,0.18,155,22,15.1,5,"control",87,398,38,7.56,,,,,,,,
88,"CONTROL","ECOTYPE - 1376",88,"control",5,".","ns",".",".",5,"control",88,"np",".",".",,,,,,,,
89,"CONTROL",33462,89,"control",5,0.16,136,33,6.5,5,"control",89,325,29,7.07,,,,,,,,
90,"CONTROL",50488,90,"control",5,0.21,176,21,7.2,5,"control",90,438,33,8.08,,,,,,,,
91,"CONTROL",63722,91,"control",5,0.21,194,15,8,5,"control",91,415,43,8.49,,,,,,,,
92,"CONTROL",17933,92,"control",5,0.1,106,15,12.9,5,"control",92,350,20,9.33,,,,,,,,
93,"CONTROL",42704,93,"control",5,".","ns",".",".",5,"control",93,"np",".",".",,,,,,,,
94,"CONTROL",54680,94,"control",5,0.12,123,42,7.8,5,"control",94,309,36,7.93,,,,,,,,
95,"CONTROL",42704,95,"control",5,0.06,6,15,10.1,5,"control",95,154,17,7.32,,,,,,,,
96,"CONTROL",150522,96,"control",5,".","ng",".",".",5,"control",96,"np-ws",".",".",,,,,,,,
97,"CONTROL","cs60000",97,"control",5,0.14,130,55,13.7,5,"control",97,336,44,6.92,,,,,,,,
98,"CONTROL",50488,98,"control",5,".","ns",".",".",5,"control",98,"np",".",".",,,,,,,,
99,"CONTROL",94332,99,"control",5,0.17,132,27,8.6,5,"control",99,382,27,7.62,,,,,,,,
100,"CONTROL",134535,100,"control",5,".","ns",".",".",5,"control",100,"np",".",".",,,,,,,,
101,"CONTROL","ECOTYPE - 1376",101,"control",6,0.2,132,37,12,6,"control",101,286,31,7.86,,,,,,,,
102,"CONTROL",38957,102,"control",6,".","ns",".",".",6,"control",102,"np",".",".",,,,,,,,
103,"CONTROL",59835,103,"control",6,0.14,133,7,9.5,6,"control",103,371,21,7.44,,,,,,,,
104,"CONTROL","cs60000",104,"control",6,".","ns",".",".",6,"control",104,"np",".",".",,,,,,,,
105,"CONTROL",59835,105,"control",6,0.1,54,52,8.5,6,"control",105,167,28,2.71,,,,,,,,
106,"CONTROL",59835,106,"control",6,0.1,102,13,9,6,"control",106,368,8,8.3,,,,,,,,
107,"CONTROL",134535,107,"control",6,".","ns",".",".",6,"control",107,"np",".",".",,,,,,,,
108,"CONTROL",38957,108,"control",6,0.12,36,64,10,6,"control",108,111,31,1.33,,,,,,,,
109,"CONTROL",50488,109,"control",6,0.16,137,15,8.5,6,"control",109,316,39,9.28,,,,,,,,
110,"CONTROL",63722,110,"control",6,0.21,167,2,13.5,6,"control",110,262,60,9.9,,,,,,,,
111,"CONTROL",17933,111,"control",6,0.08,102,19,9,6,"control",111,311,10,11.08,,,,,,,,
112,"CONTROL",42704,112,"control",6,0.12,110,13,14,6,"control",112,382,23,9.14,,,,,,,,
113,"CONTROL","cs60000",113,"control",6,".","ns",".",".",6,"control",113,"np",".",".",,,,,,,,
114,"CONTROL",17933,114,"control",6,".","ns",".",".",6,"control",114,"np",".",".",,,,,,,,
115,"CONTROL",54680,115,"control",6,0.16,117,32,8.1,6,"control",115,396,43,9.97,,,,,,,,
116,"CONTROL",63722,116,"control",6,0.12,108,35,8.9,6,"control",116,286,35,8.96,,,,,,,,
117,"CONTROL",59835,117,"control",6,0.11,93,23,13,6,"control",117,249,33,6.75,,,,,,,,
118,"CONTROL",42704,118,"control",6,0.26,152,69,13.4,6,"control",118,338,33,10.65,,,,,,,,
119,"CONTROL",50488,119,"control",6,0.15,127,27,13.6,6,"control",119,338,21,10.02,,,,,,,,
120,"CONTROL","ECOTYPE - 22587",120,"control",6,".","ng",".",".",6,"control",120,"np",".",".",,,,,,,,
121,"CONTROL",94332,121,"control",7,0.05,6,22,10.1,7,"control",121,123,42,9.88,,,,,,,,
122,"CONTROL",126600,122,"control",7,0.09,68,13,12.9,7,"control",122,310,22,8.12,,,,,,,,
123,"CONTROL",126600,123,"control",".",".","ns",".",".",7,"control",123,"np",".",".",,,,,,,,
124,"CONTROL",38957,124,"control",".",".","ng",".",".",7,"control",124,"np-ys",".",".",,,,,,,,
125,"CONTROL",38957,125,"control",".",".","ng",".",".",7,"control",125,"np-ws",".",".",,,,,,,,
126,"CONTROL",150522,126,"control",7,0.16,123,23,7,7,"control",126,401,33,10.64,,,,,,,,
127,"CONTROL",134535,127,"control",".",".","ng",".",".",7,"control",127,"np-ys",".",".",,,,,,,,
128,"CONTROL",17933,128,"control",".",".","ng",".",".",7,"control",128,"np-bs",".",".",,,,,,,,
129,"CONTROL",59835,129,"control",".",".","ng",".",".",7,"control",129,"np-ws",".",".",,,,,,,,
130,"CONTROL","ECOTYPE - 22587",130,"control",".",".","ns",".",".",7,"control",130,"np",".",".",,,,,,,,
131,"CONTROL","cs60000",131,"control",7,0.13,109,33,12.5,7,"control",131,348,36,7.81,,,,,,,,
132,"CONTROL",150522,132,"control",7,0.08,77,10,7.6,7,"control",132,227,26,8.48,,,,,,,,
133,"CONTROL",17933,133,"control",7,0.08,50,10,10.9,7,"control",133,322,25,10.17,,,,,,,,
134,"CONTROL",17933,134,"control",7,0.18,141,40,11.6,7,"control",134,429,37,10.1,,,,,,,,
135,"CONTROL",126600,135,"control",7,0.15,119,20,6.8,7,"control",135,375,34,10.86,,,,,,,,
136,"CONTROL",150522,136,"control",".",".","ns",".",".",7,"control",136,"np",".",".",,,,,,,,
137,"CONTROL","cs60000",137,"control",7,0.07,53,20,14.7,7,"control",137,268,26,4.63,,,,,,,,
138,"CONTROL",63722,138,"control",7,0.12,120,20,7.7,7,"control",138,291,42,8.91,,,,,,,,
139,"CONTROL",50488,139,"control",".",".","ns",".",".",7,"control",139,"np",".",".",,,,,,,,
140,"CONTROL",42704,140,"control",".",".","ns",".",".",7,"control",140,"np",".",".",,,,,,,,
141,"FERTILIZER",54680,141,"highwater",8,0,6,3,10.4,8,"high H2O",141,94,4,1.98,,,,,,,,
142,"FERTILIZER",54680,142,"highwater",8,0.02,18,5,5.3,8,"high H2O",142,183,10,3.19,,,,,,,,
143,"FERTILIZER",150522,143,"highwater",".",".","ng",".",".",8,"high H2O",143,"np-ws",".",".",,,,,,,,
144,"FERTILIZER",50488,144,"highwater",8,0.03,22,5,7.6,8,"high H2O",144,120,11,5.06,,,,,,,,
145,"FERTILIZER",42704,145,"highwater",8,0.01,1,39,"0 n/a",8,"high H2O",145,210,8,2.48,,,,,,,,
146,"FERTILIZER",94332,146,"highwater",8,0.02,23,17,7.5,8,"high H2O",146,199,14,4.71,,,,,,,,
147,"FERTILIZER",134535,147,"highwater",".",".","ns",".",".",8,"high H2O",147,"np",".",".",,,,,,,,
