"tagnum","line","SALK_Line","fruits.removed","alive.at.harvest","comments"
987,"043219c","SALK_043219C",0,1,
988,"043219c","SALK_043219C",0,1,
989,"043219c","SALK_043219C",0,1,
990,"043219c","SALK_043219C",0,1,
991,"043219c","SALK_043219C",0,1,
992,"043219c","SALK_043219C",0,1,
993,"043219c","SALK_043219C",0,1,
994,"043219c","SALK_043219C",0,1,
995,"043219c","SALK_043219C",0,1,
996,"043219c","SALK_043219C",3,1,
997,"043219c","SALK_043219C",0,1,
998,"043219c","SALK_043219C",0,1,
999,"043219c","SALK_043219C",0,1,
1000,"043219c","SALK_043219C",0,1,
1001,"043219c","SALK_043219C",0,1,
1002,"043219c","SALK_043219C",0,1,
1003,"043219c","SALK_043219C",0,1,
1004,"043219c","SALK_043219C",0,1,
1005,"043219c","SALK_043219C",0,1,
1006,"043219c","SALK_043219C",0,1,
1007,"133498c","SALK_133498C",0,1,
1008,"133498c","SALK_133498C",3,1,
1009,"133498c","SALK_133498C",0,1,
1010,"cs60000","CS60000",0,1,
1011,"cs60000","CS60000",0,1,
1012,"cs60000","CS60000",0,1,
1013,"cs60000","CS60000",0,1,
1014,"cs60000","CS60000",0,1,
1015,"cs60000","CS60000",0,1,
1016,"cs60000","CS60000",0,1,
1017,"cs60000","CS60000",0,1,
1018,"cs60000","CS60000",0,1,
1019,"cs60000","CS60000",0,1,
1020,"037779c","SALK_037779C",0,1,
1021,"037779c","SALK_037779C",0,1,
1022,"037779c","SALK_037779C",0,1,
1023,"037779c","SALK_037779C",0,1,
1024,"037779c","SALK_037779C",0,1,
1025,"037779c","SALK_037779C",0,1,
1026,"037779c","SALK_037779C",0,1,
1027,"cs60000","CS60000",0,1,
1028,"cs60000","CS60000",0,1,
1029,"cs60000","CS60000",0,1,
1030,"cs60000","CS60000",0,1,
1031,"cs60000","CS60000",0,1,
1032,"cs60000","CS60000",0,1,
1033,"cs60000","CS60000",0,1,
1034,"cs60000","CS60000",0,1,
1035,"cs60000","CS60000",0,1,
1036,"cs60000","CS60000",0,1,
1037,"cs60000","CS60000",0,1,
1038,"cs60000","CS60000",0,1,
1039,"cs60000","CS60000",0,1,
1040,"cs60000","CS60000",0,1,
1041,"013968c","SALK_013968C",0,0,
1042,"013968c","SALK_013968C",3,1,
1043,"013968c","SALK_013968C",0,1,
1044,"056385c","SALK_056385C",0,1,
1045,"056385c","SALK_056385C",3,1,
1046,"056385c","SALK_056385C",0,1,
1047,"056385c","SALK_056385C",0,1,
1048,"056385c","SALK_056385C",0,1,
1049,"056385c","SALK_056385C",0,1,
1050,"056385c","SALK_056385C",0,1,
1051,"107859c","SALK_107859C",0,1,
1052,"107859c","SALK_107859C",0,1,
1053,"107859c","SALK_107859C",0,1,
1054,"107859c","SALK_107859C",0,1,
1055,"107859c","SALK_107859C",0,1,
1056,"107859c","SALK_107859C",3,1,
1057,"107859c","SALK_107859C",0,1,
1058,"107859c","SALK_107859C",0,1,
1059,"107859c","SALK_107859C",0,1,
1060,"107859c","SALK_107859C",0,1,
1061,"091420c","SALK_091420C",0,1,
1062,"091420c","SALK_091420C",0,1,
1063,"091420c","SALK_091420C",3,1,
1064,"NOT-USED","NOT-USED",,,
1065,"NOT-USED","NOT-USED",,,
1066,"NOT-USED","NOT-USED",,,
1067,"NOT-USED","NOT-USED",,,
1068,"NOT-USED","NOT-USED",,,
1069,"NOT-USED","NOT-USED",,,
1070,"NOT-USED","NOT-USED",,,
1071,"NOT-USED","NOT-USED",,,
1072,"NOT-USED","NOT-USED",,,
1073,"NOT-USED","NOT-USED",,,
1074,"NOT-USED","NOT-USED",,,
1075,"NOT-USED","NOT-USED",,,
1076,"NOT-USED","NOT-USED",,,
1077,"NOT-USED","NOT-USED",,,
1078,"NOT-USED","NOT-USED",,,
1079,"NOT-USED","NOT-USED",,,
1080,"NOT-USED","NOT-USED",,,
1081,"NOT-USED","NOT-USED",,,
1082,"NOT-USED","NOT-USED",,,
1083,"NOT-USED","NOT-USED",,,
1084,"NOT-USED","NOT-USED",,,
1085,"NOT-USED","NOT-USED",,,
1086,"NOT-USED","NOT-USED",,,
1087,"NOT-USED","NOT-USED",,,
1088,"NOT-USED","NOT-USED",,,
1089,"NOT-USED","NOT-USED",,,
1090,"NOT-USED","NOT-USED",,,
1091,"NOT-USED","NOT-USED",,,
1092,"NOT-USED","NOT-USED",,,
1093,"NOT-USED","NOT-USED",,,
1094,"NOT-USED","NOT-USED",,,
1095,"NOT-USED","NOT-USED",,,
1096,"NOT-USED","NOT-USED",,,
1097,"NOT-USED","NOT-USED",,,
1098,"NOT-USED","NOT-USED",,,
1099,"NOT-USED","NOT-USED",,,
1100,"NOT-USED","NOT-USED",,,
1101,"NOT-USED","NOT-USED",,,
1102,"NOT-USED","NOT-USED",,,
1103,"NOT-USED","NOT-USED",,,
1104,"NOT-USED","NOT-USED",,,
1105,"062171c","SALK_062171C",3,1,
1106,"062171c","SALK_062171C",0,1,
1107,"062171c","SALK_062171C",0,1,
1108,"141554c","SALK_141554C",3,1,
1109,"141554c","SALK_141554C",0,1,
1110,"141554c","SALK_141554C",0,1,
1111,"141554c","SALK_141554C",0,1,
1112,"141554c","SALK_141554C",0,1,
1113,"141554c","SALK_141554C",0,1,
1114,"141554c","SALK_141554C",0,1,
1115,"141554c","SALK_141554C",0,0,
1116,"141554c","SALK_141554C",0,1,
1117,"098302c","SALK_098302C",3,1,
1118,"098302c","SALK_098302C",0,1,
1119,"098302c","SALK_098302C",0,0,
1120,"098302c","SALK_098302C",0,1,
